年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
H28,計画,1,,技術者倫理等の用語に関する次の記述のうち、最も不適当なものはどれか。,「アカウンタビリティ」は、一般に、業務や研究活動についての「説明する責任」のことをいう。,「談合」は、一定の利益を業界全体にもたらすことを目的とするもので、同業種の業者が資本を結合し、共同企業体を設けることも含む。,「公益通報」には、通報先や状況によって、「内部通報」、「行政機関への通報」及び「外部通報」の三つの種類がある。,「コンプライアンス」は、一般に、「法令遵守」と訳され、法令・条例等の遵守に加えて企業倫理等の遵守も含む。,2
H28,計画,2,,建築物の保存、再生、活用等に関する次の記述のうち、最も不適当なものはどれか。,東京駅丸の内駅舎(東京都千代田区)は、赤レンガのファサードをもつ駅舎であり、特例容積率適用地区制度を活用して、未利用容積を周辺建築物に売却・移転したうえで、保存・復原したものである。,目黒区総合庁舎(東京都目黒区)は、民間企業の本社屋として建築された建築物を、耐震補強、設備改修等を行ったうえで、庁舎として再生・転用したものである。,神奈川県立近代美術館鎌倉館(神奈川県鎌倉市)は、竣工時の形状を損なうことなく地震に対する安全性を高めるため、免震レトロフィット工法を採用し、保存・改修したものである。,旧門司税関(福岡県北九州市)は、明治・大正時代の歴史的建造物を活かしたまちづくりである「門司港レトロ事業」の一環として、明治45年に建築された税関庁舎を、港湾緑地の休憩所等として再生・活用したものである。,3
H28,計画,3,,歴史的な建築物に関する次の記述のうち、最も不適当なものはどれか。,ハギア・ソフィア大聖堂(トルコ)は、バシリカ形式とドーム集中形式とを融合させた平面をもち、巨大なドーム構造によって内部に広大な空間を作り出したビザンチン様式の建築物である。,コルドバの大モスク(スペイン)は、紅白縞文様の2段アーチを伴って林立する柱による内部空間をもち、現在はキリスト教文化とイスラム教文化が混在している建築物である。,ピサ大聖堂(イタリア)は、世界最大級の石積ドームをもち、外装はピンクや緑の大理石により幾何学模様で装飾され、クーポラとランターンは初期ルネサンス様式、ファサードはネオ・ゴシック様式の建築物である。,ヴォルムス大聖堂(ドイツ)は、東西両端にアプスを対置させた二重内陣と身廊の両側に側廊を設けたバシリカ形式で構成され、東西の内陣と交差部とに六つの塔をもつロマネスク様式の建築物である。,3
H28,計画,4,,建築物の開口部等に用いるガラスに関する次の記述のうち、最も不適当なものはどれか。,Low-E複層ガラスは、中空層側のガラス面に特殊金属膜をコーティングすることで、中空層における放射伝熱を低減した複層ガラスである。,単板の強化ガラスは、同厚のフロート板ガラスと比較して6～10倍の強度をもつため、特段の措置を講じることなく、アトリウム等の屋根、スカイライト、トップライト等での使用に適している。,合わせガラスは、2枚以上の板ガラスでプラスチックフィルムを挟み加熱圧着したものであり、破損時の飛散防止や開口部の防犯性能の向上等を目的として用いられる。,板ガラスの耐風圧性能を考慮した使用可能面積は、設計風圧力、ガラスの厚さ、支持条件等が同一であれば、フロート板ガラスに比べて網入磨き板ガラスのほうが小さい。,2
H28,計画,5,,建築物とその周辺環境に関する次の記述のうち、最も不適当なものはどれか。,高層建築物の計画において、地表面付近の風速増加率は、計画地の周囲に建築物がない場合に比べ、周囲に低層建築物群がある場合のほうが大きくなる傾向がある。,建築物の周辺の気流は、「建築物の高さ(H)と建築物の間隔(W)の比(H/W)」や「街区面積に対して建築物が占める割合」により大きく影響される。,高層建築物の計画において、床面積が大きい低層部を設け、当該低層部の屋根の上部に強風を発生させる計画とすると、建築物周辺の歩行者へのビル風の影響が少なくなる。,ビル風対策としての植栽計画においては、耐風性の高い樹種を選定するとともに、低木を避け高木を風向きと平行となる向きに並べて配置することが有効である。,4
H28,計画,6,,自然エネルギーを利用したパッシブデザインに関する次の記述のうち、最も不適当なものはどれか。,十分な日射が得られる北緯35度の地点において、建築物が受ける日射量は、冬期においては南面が多く、夏期においては水平面・東西面が多いことから、集熱窓を、南面で大きく、東西面で小さくすることが省エネルギー上有効である。,パッシブクーリングの原則は、日射熱の侵入を極力排除したうえで通風を図り、自然エネルギーの利用により室内空気を冷やすことである。,コンクリート躯体を蓄熱体として利用するためには、「外断熱とすること」、「開口部からの日射を直接コンクリート躯体に当てること」、「コンクリート躯体を直接室内に露出させること」等が有効である。,クールチューブは、外気温が低下する夜間に自然通風を図り、居住者に涼感を与えるとともに、室内の蓄熱体の温度を下げ、翌日の室温上昇を抑える方式である。,4
H28,計画,7,,"一般公共の用に供する屋内駐車場(自動車の駐車の用に供する部分の面積が1,000m2のもの)の各部の寸法に関する次の記述のうち、最も不適当なものはどれか。",車いす使用者用駐車施設について、1台当たりの駐車スペースを、幅3.5m×奥行6.0mとした。,小型自動車の車路の梁下の高さを、2.1mとした。,一方通行の小型自動車の車路のうち、車路に接して駐車料金の徴収施設が設けられている場所で、歩行者の通行の用に供しない部分の幅員を、2.75mとした。,小型自動車の車路の屈曲部の内法半径を、5mとした。,2
H28,計画,8,,建築物の各部の寸法等に関する次の記述のうち、最も不適当なものはどれか。,中規模事務所ビルの計画において、基準階の共用部の主要な廊下の幅員を、2.0mとした。,公共体育館の計画において、成人用バスケットボールコートを二面配置するために、床面の内法寸法を、30m×35mとした。,バスターミナルの誘導車路の屈曲部の計画において、全長12m程度の大型バスの最小回転半径を、12mとした。,大規模量販店の計画において、売場の客用通路の幅員は、主要な避難通路を3.0mとし、それ以外の通路を1.8mとした。,2
H28,計画,9,,劇場、競技場等の客席・観覧席の計画に関する次の記述のうち、最も不適当なものはどれか。,車いす使用者用客席・観覧席の数(可動席スペースを含む。)は、施設内容や規模に応じ、客席・観覧席総数の0.5～1%以上とする。,車いす使用者用客席・観覧席は、少なくとも同時に2以上の車いす使用者が利用できる専用スペースとして、固定位置に確保する。,サイトライン(可視線)は、客席・観覧席の各々の人が、前列の人の頭又は肩を越して視焦点(舞台や競技場)を見ることができる視野の限界線のことである。,客席・観覧席の出入口から車いす使用者用客席・観覧席へ至る客席・観覧席内の通路は、有効幅員を120cm以上とするとともに、区間100m以内ごとに車いすが転回することができる140cm角以上のスペースを設ける。,4
H28,計画,10,,都市計画・都市デザインに関する次の記述のうち、最も不適当なものはどれか。,高蔵寺ニュータウン(愛知県)は、高度経済成長期に名古屋圏に流入し、増加した人口の受け皿として、「近隣住区」等の都市計画理論に基づき開発された我が国で最初のニュータウンである。,筑波研究学園都市(茨城県)は、東京への一極集中を緩和するために、職住一体の「田園都市」として構想されたものである。,川越一番街(埼玉県)では、「パタン・ランゲージ」に範をとった町づくり規範により、歴史的町並みの景観の保全が実践されている。,くまもとアートポリス(熊本県)は、環境デザインに対する関心を高め、都市環境・建築文化等の向上を図るために、「コミッショナー」が設計者を推薦する手法が採用された事業である。,1
