年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
H29,計画,1,,技術者の倫理等の用語に関する次の記述のうち、最も不適当なものはどれか。,「公益確保の責務」は、技術者の倫理的義務の一つであり、「公衆の安全、健康及び福利を最優先に考慮すること」をいう。,「リスクマネジメント」は、危機事態が生じた後に速やかに実施するものであり、被害の最小化、被害の拡大防止、二次被害の防止等が目的となる。,「モラルハザード」は、保険の領域から派生した概念で、近年では、一般に、「倫理観の欠如」と訳され、企業等が節度なく利益を追求する状態をいう。,「不遵守行為」は、個人及び組織を含めて意図的に法令や条例等に従わない行為をいう。,2
H29,計画,2,,建築物の保存・再生の事例に関する次の記述のうち、最も不適当なものはどれか。,犬島精錬所美術館(岡山県)は、20世紀初頭に閉鎖された精錬所の遺構を活用し、自然エネルギーを積極的に利用した美術館として保存・再生させたものである。,3331 Arts Chiyoda(東京都)は、廃校になった中学校を、アートギャラリーを含む文化施設等として保存・再生させたものである。,カステルヴェッキオ美術館(イタリア ヴェローナ)は、14世紀に建設された歴史的建造物である城を、美術館等として保存・再生させたものである。,リンゴット工場再開発計画(イタリア トリノ)は、20世紀初頭に建設された巨大な自動車工場を、現代美術館として保存・再生させたものである。,4
H29,計画,3,,A～Dの建築物について、その建造された年代を古いものから新しいものへ並べた順序として、正しいものは、次のうちどれか。A.ローマのテンピエット(イタリア) B.ル・トロネ修道院(フランス) C.ローマのパンテオン(イタリア) D.ロンドンのセント・ポール大聖堂(イギリス),B → C → D → A,B → C → A → D,C → A → B → D,C → B → A → D,4
H29,計画,4,,都市空間についての著書に関する次の記述のうち、最も不適当なものはどれか。,レム・コールハースは、「錯乱のニューヨーク (Delirious New York)」において、主としてマンハッタンの超高層建築物がつくりだした「過密の文化」に着目し、「マンハッタニズム」と定義した。,クリストファー・アレグザンダーは、「パタン・ランゲージ (A Pattern Language)」において、過去の事例から導きだされた都市や建築を形づくるための基本的な原則を示した。,ジェイン・ジェイコブズは、「アメリカ大都市の死と生(The Death and Life of Great American Cities)」において、都市の街路や地区に多様性を生みだす四つの条件を示した。,ケヴィン・リンチは、「都市のイメージ (The Image of the City)」において、ラスベガスの都市景観の多様な空間要素を記号論的な視点から分析した。,4
H29,計画,5,,わが国における建築物と周辺環境に関する次の記述のうち、最も不適当なものはどれか。,建築物に囲まれた広場や街路等の幅員をD、建築物のファサードの高さをHとした場合、D/Hはその外部空間の開放感や閉塞感を表す指標となる。,建築物が冬至の日において4時間以上の日影を周囲に及ぼす範囲は、一般に、建築物の東西方向の幅よりも建築物の高さに大きく影響される。,都市部にある建築物の屋根及び屋上に高日射反射率塗料を塗ることにより、ヒートアイランド現象を抑制する効果が期待できる。,多雪地域の市街地の建築物において、落雪の搬出の不便さと落雪による危険を避けるため、無落雪屋根を採用する場合がある。,2
H29,計画,6,,建築物の各部の寸法等に関する次の記述のうち、最も不適当なものはどれか。,事務所ビルの事務室において、椅子に座った状態で室内の見通しをよくするためにパーティションの高さを床面から110cmとした。,幼稚園において、子ども用足洗い場については床に5%程度の勾配をとり、子ども用手洗い場についてはその高さを床面から65cmとした。,小学校において、居心地のよさや落着き感に考慮しつつ、教室の天井高さを2.7mとした。,病院の4床室の病室において、隣り合うベッドとベッドの間に幅1m以上のスペースを確保するため、その床面積を患者一人につき8m2とした。,2
H29,計画,7,,建築物の各部の寸法等に関する次の記述のうち、最も不適当なものはどれか。,乗用エレベーター(定員24人)は、かごの内法寸法が間口2150mm×奥行1600mmのものを採用した。,建築物の主要な出入口の有効幅員を1500mmとし、その他の出入口の有効幅員を1000mmとした。,自走式の立体駐車場における自動車の車路において、傾斜部の本勾配を1/6とし、傾斜部の始まりと終わりのそれぞれの長さ6mの部分の緩和勾配を1/10とした。,多人数の成人が使用する洗面所において、隣り合う洗面器の中心間距離を850mmとした。,3
H29,計画,8,,屋内階段に関する次の記述のうち、「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」に照らして、最も不適当なものはどれか。,階段の両側の壁に手すりを設けるに当たり、その手すりの端部は、階段の上端では水平に45cm延長させ、下端では斜め部分も含めて段鼻から45cm延長させた。,階段に上下2本の手すりを設けるに当たり、その上段の手すりの高さを80cmとし、下段の手すりの高さを60cmとした。,階段の蹴上げを15cm、踏面を32cm、蹴込みを1cmとした。,階段上端部と連続する床については、視覚障がい者が段を認識できるように、段の手前5cmの位置に線状ブロックを敷設した。,4
H29,計画,9,,便所・洗面所に関する次の記述のうち、「高齢者、障害者等の円滑な移動等に配慮した建築設計標準(国土交通省)」に照らして、最も不適当なものはどれか。,オストメイト用設備を有する便房の汚物流しに設ける水栓は、湯温調整付きレバーハンドル型混合水栓とした。,オストメイト用設備を有する便房には、ストーマ装具や関連の小物等を置くことができる手荷物置き台(カウンター)を設置した。,車いす使用者用便房に設置する洗面器の鏡は、幅35cm×高さ45cmの大きさとし、車いす使用者の利用に配慮し傾斜させて設置した。,車いす使用者用便房に設置する手すりは、便器の側壁側にL型手すりを設けるとともに、他方には可動手すりを設け、それらの水平部はいずれも便座の座面から25cmの高さとした。,3
H29,計画,10,,都市計画・都市デザインに関する次の記述のうち、最も不適当なものはどれか。,後藤新平らが主導した関東大震災からの「帝都復興事業」においては、鉄筋コンクリート造により不燃化・耐震化した復興小学校を建設し、隣接して小公園を整備した。,ル・コルビュジエの「パリのヴォワザン計画」においては、一部の歴史的建造物を保存しつつ、古い街区や建築物を大規模に取り壊し、幹線道路等を整備したうえで、超高層ビルに建て替える提案をした。,丹下健三の「東京計画1960」においては、人口の過剰集中による諸問題に対し、東京湾を全面的に埋め立て、放射状の都市構造をつくりだす提案をした。,フランソワ・ミッテランらが主導したパリの都市計画である「グラン・プロジェ」においては、フランス革命200年を記念して、ルーブル美術館の大改修やオルセー駅舎の美術館への転用等、拠点整備による都市の再生を進めた。,3
